FID;FTYPE;DATE;TIMESTAMP;MACHINE;LANE;STAGE;OUTPUT;MJSID;LOTNAME;LOTNUMBER;SERIAL;PRODUCTID;PRODUCT;FID;BNDRcgStop;BNDStop;Board;BRcgStop;Bwait;CDErr;CMErr;CnvStop;CPErr;CRErr;CTErr;Cwait;FBStop;Fwait;JointPassWait;JudgeStop;LotBoard;LotModule;McFwait;McRwait;MHRcgStop;Module;OtherLStop;OthrStop;Pwait;Rwait;SCEStop;SCStop;Swait;TDispense;TDMiss;THMiss;TMMiss;TPickup;TPMiss;TPriming;Trbl;TRMiss;TRSErr;TRSMiss
27;u01;20130830060303699;1377860583;01;2;1;3;PTA635AA001_BA001_CA001;RRA635BA001;3;526054;232;PTA635AA001_BA001_CA001_RRA635BA001_3;27;0;0;1140;0;0;0;0;0;0;0;0;0;0;12;0;0;1140;1140;11;939;0;1140;524;1;1;1386;0;5;0;0;0;4;0;215529;56;0;0;9;0;0
28;u01;20130830053123023;1377858683;01;2;1;3;PTA635AA001_BA001_CA001;RRA635BA001;3;526012;232;PTA635AA001_BA001_CA001_RRA635BA001_3;28;0;0;1098;0;0;0;0;0;0;0;0;0;0;12;0;0;1098;1098;11;907;0;1098;499;1;1;1336;0;5;0;0;0;4;0;207589;54;0;0;9;0;0
29;u01;20130830024632007;1377848792;01;1;1;3;PTA635AA001_BA001_CA001;RSA635BA001;4;525682;233;PTA635AA001_BA001_CA001_RSA635BA001_4;29;0;0;774;0;0;0;0;0;0;0;0;0;0;44;0;0;774;774;11;718;0;774;715;0;0;929;0;2;0;0;0;0;0;116892;17;0;0;1;0;0
30;u01;20130830032015323;1377850815;01;1;1;3;PTA635AA001_BA001_CA001;RSA635BA001;4;525726;233;PTA635AA001_BA001_CA001_RSA635BA001_4;30;0;0;818;0;0;0;0;0;0;0;0;0;0;44;0;0;818;818;11;777;0;818;758;0;0;989;0;2;0;0;0;0;0;123536;17;0;0;1;0;0
31;u01;20130830024740030;1377848860;01;2;1;3;PTA635AA001_BA001_CA001;RRA635BA001;3;525823;232;PTA635AA001_BA001_CA001_RRA635BA001_3;31;0;0;909;0;0;0;0;0;0;0;0;0;0;12;0;0;909;909;11;719;0;909;406;0;0;1096;0;2;0;0;0;4;0;171862;48;0;0;9;0;0
32;u01;20130830065110653;1377863470;01;2;1;3;PTA635AA001_BA001_CA001;RRA635BA001;3;526111;232;PTA635AA001_BA001_CA001_RRA635BA001_3;32;0;0;1197;0;0;0;0;0;0;0;0;0;0;12;0;0;1197;1197;11;967;0;1197;557;1;1;1441;0;5;0;0;0;5;0;226308;59;0;0;11;0;0
33;u01;20130830054945398;1377859785;01;1;1;3;PTA635AA001_BA001_CA001;RSA635BA001;4;525897;233;PTA635AA001_BA001_CA001_RSA635BA001_4;33;0;0;989;0;0;0;0;0;0;0;0;0;0;44;0;0;989;989;11;928;0;989;921;0;0;1233;1;5;0;0;0;0;0;149367;26;0;0;2;0;0
34;u01;20130830002306296;1377840186;01;1;1;3;PTA635AA001_BA001_CA001;RSA635BA001;4;525513;233;PTA635AA001_BA001_CA001_RSA635BA001_4;34;0;0;605;0;0;0;0;0;0;0;0;0;0;41;0;0;605;605;11;538;0;605;555;0;0;703;0;0;0;0;0;0;0;91366;10;0;0;1;0;0
35;u01;20130830011513978;1377843313;01;1;1;3;PTA635AA001_BA001_CA001;RSA635BA001;4;525574;233;PTA635AA001_BA001_CA001_RSA635BA001_4;35;0;0;666;0;0;0;0;0;0;0;0;0;0;41;0;0;666;666;11;610;0;666;616;0;0;794;0;0;0;0;0;0;0;100582;15;0;0;1;0;0
36;u01;20130830022850995;1377847730;01;1;1;3;PTA635AA001_BA001_CA001;RSA635BA001;4;525656;233;PTA635AA001_BA001_CA001_RSA635BA001_4;36;0;0;748;0;0;0;0;0;0;0;0;0;0;42;0;0;748;748;11;709;0;748;691;0;0;918;0;2;0;0;0;0;0;112964;15;0;0;1;0;0
