SCRIPT: orig_chart7.sql
equipment_id	lane_no	stage_no	total_down_time	prev_proc_wait_time	next_proc_wait_time	singl_cycl_stop_time	chip_supp_wait_time	sldr_ctr_wait_time	sldr_snsr_wait_time	cln_paper_wait_time	brcg_time	cperr_count	dataedit	mente	othrstop_count	prodview	unitadjust	real_run_time	grand_total_in_hours	last_col
1012	1	1	33	3	30	0	0	0	0	0	278	OK	NULL	1012	1	1	9212	727	7657	152	156	0	0	0	15983	1422558621_8903_ManagementData.log	NULL
1012	1	1	33	3	30	0	0	0	0	0	278	OK	NULL	1012	1	1	9239	728	7683	152	156	0	0	0	16170	1422558833_8905_ManagementData.log	NULL
1012	1	1	33	3	30	0	0	0	0	0	278	OK	NULL	1012	1	1	9217	727	7662	152	156	0	0	0	16076	1422558735_8904_ManagementData.log	NULL
1012	1	1	9	1	8	0	0	0	0	0	283	OK	NULL	1012	1	1	9241	728	7685	152	156	0	0	0	16265	1422558931_8906_ManagementData.log	NULL
1012	1	1	9	1	8	0	0	0	0	0	283	OK	NULL	1012	1	1	9248	729	7691	152	156	0	0	0	16453	1422559138_8908_ManagementData.log	NULL
1012	1	1	9	1	8	0	0	0	0	0	283	OK	NULL	1012	1	1	9245	729	7688	152	156	0	0	0	16358	1422559029_8907_ManagementData.log	NULL
1012	1	1	12	1	11	0	0	0	0	0	291	OK	NULL	1012	1	1	9252	729	7695	152	156	0	0	0	16556	1422559234_8909_ManagementData.log	NULL
1012	1	1	12	1	11	0	0	0	0	0	291	OK	NULL	1012	1	1	9260	730	7702	152	156	0	0	0	16744	1422559432_8911_ManagementData.log	NULL
1012	1	1	12	1	11	0	0	0	0	0	291	OK	NULL	1012	1	1	9260	730	7702	152	156	0	0	0	16744	1422559333_8910_ManagementData.log	NULL
1012	1	1	14	6	8	0	0	0	0	0	183	OK	NULL	1012	1	1	9268	733	7707	152	156	0	0	0	16836	1422559529_8912_ManagementData.log	NULL
1012	1	1	14	6	8	0	0	0	0	0	183	OK	NULL	1012	1	1	9274	736	7710	152	156	0	0	0	16927	1422559627_8913_ManagementData.log	NULL
1012	1	1	4	0	4	0	0	0	0	0	94	OK	NULL	1012	1	1	9278	736	7714	152	156	0	0	0	17021	1422559962_8915_ManagementData.log	NULL
1012	1	1	4	0	4	0	0	0	0	0	94	OK	NULL	1012	1	1	9278	736	7714	152	156	0	0	0	17021	1422559865_8914_ManagementData.log	NULL
1012	1	1	144	0	144	0	0	0	0	0	319	OK	NULL	1012	1	1	9422	736	7858	152	156	0	0	0	17340	1422560977_8917_ManagementData.log	NULL
1012	1	1	392	159	233	0	0	0	0	0	121	OK	NULL	1012	1	1	9814	895	8091	152	156	0	0	0	17461	1422561425_8918_ManagementData.log	NULL
1012	1	1	372	2	317	53	0	0	0	0	69	OK	NULL	1012	1	1	10186	897	8408	205	156	0	0	0	17530	1422561876_8920_ManagementData.log	NULL
1012	1	1	372	2	317	53	0	0	0	0	69	OK	NULL	1012	1	1	9814	895	8091	152	156	0	0	0	17461	1422561645_8919_ManagementData.log	NULL
1012	1	1	192	0	192	0	0	0	0	0	44	OK	NULL	1012	1	1	10378	897	8600	205	156	0	0	0	17574	1422562137_8922_ManagementData.log	NULL
1012	1	1	192	0	192	0	0	0	0	0	44	OK	NULL	1012	1	1	10186	897	8408	205	156	0	0	0	17530	1422562092_8921_ManagementData.log	NULL
1012	1	1	278	3	275	0	0	0	0	0	74	OK	NULL	1012	1	1	10656	900	8875	205	156	0	0	0	17648	1422562491_8924_ManagementData.log	NULL
1012	1	1	278	3	275	0	0	0	0	0	74	OK	NULL	1012	1	1	10656	900	8875	205	156	0	0	0	17648	1422562455_8923_ManagementData.log	NULL
1012	1	1	149	7	142	0	0	0	0	0	161	OK	NULL	1012	1	1	10664	903	8880	205	156	0	0	0	17679	1422562527_8925_ManagementData.log	NULL
1012	1	1	149	7	142	0	0	0	0	0	161	OK	NULL	1012	1	1	10666	903	8882	205	156	0	0	0	17713	1422562573_8926_ManagementData.log	NULL
1012	1	1	149	7	142	0	0	0	0	0	161	OK	NULL	1012	1	1	10680	903	8896	205	156	0	0	0	17746	1422562725_8927_ManagementData.log	NULL
1012	1	1	149	7	142	0	0	0	0	0	161	OK	NULL	1012	1	1	10799	904	9014	205	156	0	0	0	17778	1422562762_8928_ManagementData.log	NULL
1012	1	1	149	7	142	0	0	0	0	0	161	OK	NULL	1012	1	1	10805	907	9017	205	156	0	0	0	17809	1422562798_8929_ManagementData.log	NULL
1012	1	1	92	9	83	0	0	0	0	0	228	OK	NULL	1012	1	1	10809	908	9020	205	156	0	0	0	17841	1422562900_8930_ManagementData.log	NULL
1012	1	1	92	9	83	0	0	0	0	0	228	OK	NULL	1012	1	1	10877	908	9088	205	156	0	0	0	17877	1422562936_8931_ManagementData.log	NULL
1012	1	1	92	9	83	0	0	0	0	0	228	OK	NULL	1012	1	1	10882	911	9090	205	156	0	0	0	17907	1422562974_8932_ManagementData.log	NULL
1012	1	1	92	9	83	0	0	0	0	0	228	OK	NULL	1012	1	1	10884	911	9092	205	156	0	0	0	17941	1422563010_8933_ManagementData.log	NULL
1012	1	1	92	9	83	0	0	0	0	0	228	OK	NULL	1012	1	1	10897	916	9100	205	156	0	0	0	18037	1422563096_8935_ManagementData.log	NULL
1012	1	1	92	9	83	0	0	0	0	0	228	OK	NULL	1012	1	1	10888	911	9096	205	156	0	0	0	17974	1422563046_8934_ManagementData.log	NULL
1012	1	1	58	3	55	0	0	0	0	0	66	OK	NULL	1012	1	1	10937	916	9140	205	156	0	0	0	18071	1422563159_8936_ManagementData.log	NULL
1012	1	1	58	3	55	0	0	0	0	0	66	OK	NULL	1012	1	1	10955	919	9155	205	156	0	0	0	18103	1422563208_8937_ManagementData.log	NULL
1012	1	1	58	3	55	0	0	0	0	0	66	OK	NULL	1012	1	1	10955	919	9155	205	156	0	0	0	18103	1422563246_8938_ManagementData.log	NULL
1012	1	1	159	3	128	0	0	0	0	0	130	OK	NULL	1012	1	1	11032	922	9201	205	156	0	0	0	18189	1422563531_8939_ManagementData.log	NULL
1012	1	1	159	3	128	0	0	0	0	0	130	OK	NULL	1012	1	1	11114	922	9283	205	156	0	0	0	18233	1422563690_8941_ManagementData.log	NULL
1012	1	1	159	3	128	0	0	0	0	0	130	OK	NULL	1012	1	1	11032	922	9201	205	156	0	0	0	18189	1422563654_8940_ManagementData.log	NULL
1012	1	1	14	2	12	0	0	0	0	0	134	OK	NULL	1012	1	1	11117	922	9286	205	156	0	0	0	18268	1422563727_8942_ManagementData.log	NULL
1012	1	1	14	2	12	0	0	0	0	0	134	OK	NULL	1012	1	1	11120	923	9288	205	156	0	0	0	18301	1422563763_8943_ManagementData.log	NULL
1012	1	1	14	2	12	0	0	0	0	0	134	OK	NULL	1012	1	1	11128	924	9295	205	156	0	0	0	18367	1422563838_8945_ManagementData.log	NULL
1012	1	1	14	2	12	0	0	0	0	0	134	OK	NULL	1012	1	1	11125	924	9292	205	156	0	0	0	18333	1422563800_8944_ManagementData.log	NULL
1012	1	1	312	2	310	0	0	0	0	0	144	OK	NULL	1012	1	1	11131	924	9298	205	156	0	0	0	18400	1422564032_8946_ManagementData.log	NULL
1012	1	1	312	2	310	0	0	0	0	0	144	OK	NULL	1012	1	1	11280	924	9447	205	156	0	0	0	18444	1422564155_8947_ManagementData.log	NULL
1012	1	1	312	2	310	0	0	0	0	0	144	OK	NULL	1012	1	1	11440	926	9605	205	156	0	0	0	18511	1422564293_8949_ManagementData.log	NULL
1012	1	1	312	2	310	0	0	0	0	0	144	OK	NULL	1012	1	1	11371	925	9537	205	156	0	0	0	18478	1422564257_8948_ManagementData.log	NULL
1012	1	1	24	2	22	0	0	0	0	0	278	OK	NULL	1012	1	1	11443	926	9608	205	156	0	0	0	18544	1422564329_8950_ManagementData.log	NULL
1012	1	1	24	2	22	0	0	0	0	0	278	OK	NULL	1012	1	1	11446	926	9611	205	156	0	0	0	18577	1422564367_8951_ManagementData.log	NULL
1012	1	1	24	2	22	0	0	0	0	0	278	OK	NULL	1012	1	1	11449	927	9613	205	156	0	0	0	18611	1422564403_8952_ManagementData.log	NULL
1012	1	1	24	2	22	0	0	0	0	0	278	OK	NULL	1012	1	1	11453	927	9617	205	156	0	0	0	18644	1422564449_8953_ManagementData.log	NULL
1012	1	1	24	2	22	0	0	0	0	0	278	OK	NULL	1012	1	1	11455	927	9619	205	156	0	0	0	18689	1422564486_8954_ManagementData.log	NULL
1012	1	1	24	2	22	0	0	0	0	0	278	OK	NULL	1012	1	1	11458	927	9622	205	156	0	0	0	18722	1422564522_8955_ManagementData.log	NULL
1012	1	1	24	2	22	0	0	0	0	0	278	OK	NULL	1012	1	1	11464	928	9627	205	156	0	0	0	18789	1422564595_8957_ManagementData.log	NULL
1012	1	1	24	2	22	0	0	0	0	0	278	OK	NULL	1012	1	1	11460	927	9624	205	156	0	0	0	18757	1422564559_8956_ManagementData.log	NULL
1012	1	1	65	2	6	0	0	0	0	0	219	OK	NULL	1012	1	1	11468	929	9630	205	156	0	0	0	18821	1422564693_8958_ManagementData.log	NULL
