START TABLE: product_setup
START METADATA:
table_name	field_name	is_identity	user_type_id	type_name	precision
PRODUCT_SETUP	PRODUCT_ID	0	108	numeric	38
PRODUCT_SETUP	ROUTE_ID	0	108	numeric	38
PRODUCT_SETUP	MIX_NAME	0	231	nvarchar	0
PRODUCT_SETUP	SETUP_ID	1	108	numeric	38
PRODUCT_SETUP	LDF_FILE_NAME	0	231	nvarchar	0
PRODUCT_SETUP	MACHINE_FILE_NAME	0	231	nvarchar	0
PRODUCT_SETUP	SETUP_VALID_FLAG	0	231	nvarchar	0
PRODUCT_SETUP	LAST_MODIFIED_TIME	0	108	numeric	38
PRODUCT_SETUP	DOS_FILE_NAME	0	231	nvarchar	0
PRODUCT_SETUP	MODEL_STRING	0	231	nvarchar	0
PRODUCT_SETUP	TOP_BOTTOM	0	231	nvarchar	0
PRODUCT_SETUP	PT_GROUP_NAME	0	231	nvarchar	0
PRODUCT_SETUP	PT_LOT_NAME	0	231	nvarchar	0
PRODUCT_SETUP	PT_MC_FILE_NAME	0	231	nvarchar	0
PRODUCT_SETUP	PT_DOWNLOADED_FLAG	0	231	nvarchar	0
PRODUCT_SETUP	PT_NEEDS_DOWNLOAD	0	231	nvarchar	0
PRODUCT_SETUP	SUB_PARTS_FLAG	0	231	nvarchar	0
PRODUCT_SETUP	BARCODE_SIDE	0	231	nvarchar	0
PRODUCT_SETUP	CYCLE_TIME	0	108	numeric	38
PRODUCT_SETUP	IMPORT_SOURCE	0	108	numeric	38
PRODUCT_SETUP	MODIFIED_IMPORT_SOURCE	0	108	numeric	38
PRODUCT_SETUP	THEORETICAL_XOVER_TIME	0	108	numeric	38
PRODUCT_SETUP	PUBLISH_MODE	0	56	int	10
PRODUCT_SETUP	PCB_NAME	0	231	nvarchar	0
PRODUCT_SETUP	MASTER_MJS_ID	0	231	nvarchar	0
PRODUCT_SETUP	LED_VALID_FLAG	0	231	nvarchar	0
END METADATA:
START DATA:
PRODUCT_ID	ROUTE_ID	MIX_NAME	SETUP_ID	LDF_FILE_NAME	MACHINE_FILE_NAME	SETUP_VALID_FLAG	LAST_MODIFIED_TIME	DOS_FILE_NAME	MODEL_STRING	TOP_BOTTOM	PT_GROUP_NAME	PT_LOT_NAME	PT_MC_FILE_NAME	PT_DOWNLOADED_FLAG	PT_NEEDS_DOWNLOAD	SUB_PARTS_FLAG	BARCODE_SIDE	CYCLE_TIME	IMPORT_SOURCE	MODIFIED_IMPORT_SOURCE	THEORETICAL_XOVER_TIME	PUBLISH_MODE	PCB_NAME	MASTER_MJS_ID	LED_VALID_FLAG
1001	1001	PTA307AA000_PTA309AA001_RSA307AA001_3	5463	N.A.	TEMP_VALUE	T	1339631407	N.A.	NULL	T	NULL	NULL	NULL	F	F	T	T	NULL	2	2	NULL	0	NULL	NULL	F
1001	1001	PTA307AA000_PTA309AA001_RSA309AA001_4	5464	N.A.	TEMP_VALUE	T	1339631407	N.A.	NULL	T	NULL	NULL	NULL	F	F	T	T	NULL	2	2	NULL	0	NULL	NULL	F
1001	1001	PTA205AA000_RRA205AA000_1	6319	N.A.	TEMP_VALUE	T	1340821553	N.A.	NULL	B	NULL	NULL	NULL	F	F	T	T	NULL	2	2	NULL	0	NULL	NULL	F
1001	1001	PTA205AA000_RSA205AA000_2	6320	N.A.	TEMP_VALUE	T	1340821554	N.A.	NULL	T	NULL	NULL	NULL	F	F	T	T	NULL	2	2	NULL	0	NULL	NULL	F
1047	1001	PTA207AA000_BA000_RRA207AA000_1	6745	N.A.	ID6745	T	1354776601	N.A.	 	B	NULL	NULL	NULL	F	F	T	T	23.472	2	2	NULL	0	NULL	NULL	F
1048	1001	PTA207AA000_BA000_RSA207AA000_2	6747	N.A.	ID6747	T	1354776603	N.A.	 	T	NULL	NULL	NULL	F	F	T	T	23.234	2	2	NULL	0	NULL	NULL	F
1049	1001	PTA207AA000_BA000_RRA207BA000_3	6749	N.A.	ID6749	T	1354776605	N.A.	 	B	NULL	NULL	NULL	F	F	T	T	23.468	2	2	NULL	0	NULL	NULL	F
1050	1001	PTA207AA000_BA000_RSA207BA000_4	6751	N.A.	ID6751	T	1354776605	N.A.	 	T	NULL	NULL	NULL	F	F	T	T	22.235	2	2	NULL	0	NULL	NULL	F
1001	1001	PTA205AA001_RRA205AA001_1	6827	N.A.	TEMP_VALUE	T	1341503177	N.A.	NULL	B	NULL	NULL	NULL	F	F	T	T	NULL	2	2	NULL	0	NULL	NULL	F
1001	1001	PTA205AA001_RSA205AA001_2	6828	N.A.	TEMP_VALUE	T	1341503178	N.A.	NULL	T	NULL	NULL	NULL	F	F	T	T	NULL	2	2	NULL	0	NULL	NULL	F
1001	1001	DUMMY_DUMMY-Lane1_1	6878	N.A.	TEMP_VALUE	T	1376193855	N.A.	NULL	T	NULL	NULL	NULL	F	F	T	T	0	2	2	NULL	0	DUMMY	NULL	F
1001	1001	DUMMY_DUMMY-Lane2_2	6880	N.A.	TEMP_VALUE	T	1376193855	N.A.	NULL	B	NULL	NULL	NULL	F	F	T	T	0	2	2	NULL	0	DUMMY	NULL	F
