START TABLE: product_data
START METADATA:
table_name	field_name	is_identity	user_type_id	type_name	precision
PRODUCT_DATA	PRODUCT_ID	1	108	numeric	38
PRODUCT_DATA	PRODUCT_NAME	0	231	nvarchar	0
PRODUCT_DATA	DOS_PRODUCT_NAME	0	231	nvarchar	0
PRODUCT_DATA	PATTERNS_PER_PANEL	0	108	numeric	38
PRODUCT_DATA	PANEL_WIDTH	0	108	numeric	38
PRODUCT_DATA	PANEL_LENGTH	0	108	numeric	38
PRODUCT_DATA	PANEL_THICKNESS	0	108	numeric	38
PRODUCT_DATA	CAMERA_XAXIS_TOP	0	108	numeric	38
PRODUCT_DATA	CAMERA_YAXIS_TOP	0	108	numeric	38
PRODUCT_DATA	CAMERA_XAXIS_BOTTOM	0	108	numeric	38
PRODUCT_DATA	CAMERA_YAXIS_BOTTOM	0	108	numeric	38
PRODUCT_DATA	TOOLING_PIN_DISTANCE	0	108	numeric	38
PRODUCT_DATA	BARCODES_PER_PANEL	0	108	numeric	38
PRODUCT_DATA	PRODUCT_VALID_FLAG	0	231	nvarchar	0
PRODUCT_DATA	TOOLING_PIN	0	231	nvarchar	0
PRODUCT_DATA	CONVEYOR_SPEED	0	108	numeric	38
PRODUCT_DATA	USE_BRD_FILE	0	231	nvarchar	0
PRODUCT_DATA	BASE_PRODUCT_ID	0	108	numeric	38
END METADATA:
START DATA:
PRODUCT_ID	PRODUCT_NAME	DOS_PRODUCT_NAME	PATTERNS_PER_PANEL	PANEL_WIDTH	PANEL_LENGTH	PANEL_THICKNESS	CAMERA_XAXIS_TOP	CAMERA_YAXIS_TOP	CAMERA_XAXIS_BOTTOM	CAMERA_YAXIS_BOTTOM	TOOLING_PIN_DISTANCE	BARCODES_PER_PANEL	PRODUCT_VALID_FLAG	TOOLING_PIN	CONVEYOR_SPEED	USE_BRD_FILE	BASE_PRODUCT_ID
1062	RSA038EA000	RSA038EA000	2	0	0	0	0	0	0	0	0	1	T	F	0	F	NULL
1063	RRA038GA000	RRA038GA000	2	0	0	0	0	0	0	0	0	1	T	F	0	F	NULL
1064	RSA038GA000	RSA038GA000	2	0	0	0	0	0	0	0	0	1	T	F	0	F	NULL
1065	RRA038MA000	RRA038MA000	2	0	0	0	0	0	0	0	0	1	T	F	0	F	NULL
1066	RSA038MA000	RSA038MA000	2	0	0	0	0	0	0	0	0	1	T	F	0	F	NULL
1067	RRA205AA003	RRA205AA003	1	0	0	0	0	0	0	0	0	1	T	F	0	F	NULL
1068	RSA205AA003	RSA205AA003	1	0	0	0	0	0	0	0	0	1	T	F	0	F	NULL
1069	RRA215AA000	RRA215AA000	1	0	0	0	0	0	0	0	0	1	T	F	0	F	NULL
1070	RSA215AA000	RSA215AA000	1	0	0	0	0	0	0	0	0	1	T	F	0	F	NULL
1071	RRA215BA000	RRA215BA000	1	0	0	0	0	0	0	0	0	1	T	F	0	F	NULL
1072	RSA215BA000	RSA215BA000	1	0	0	0	0	0	0	0	0	1	T	F	0	F	NULL
1073	RRA215CA000	RRA215CA000	1	0	0	0	0	0	0	0	0	1	T	F	0	F	NULL
1074	RSA215CA000	RSA215CA000	1	0	0	0	0	0	0	0	0	1	T	F	0	F	NULL
1075	RRA215DA000	RRA215DA000	1	0	0	0	0	0	0	0	0	1	T	F	0	F	NULL
1076	RSA215DA000	RSA215DA000	1	0	0	0	0	0	0	0	0	1	T	F	0	F	NULL
1077	RRA305AA004	RRA305AA004	1	0	0	0	0	0	0	0	0	1	T	F	0	F	NULL
1078	RSA305AA004	RSA305AA004	1	0	0	0	0	0	0	0	0	1	T	F	0	F	NULL
1079	RRA421AA000	RRA421AA000	1	0	0	0	0	0	0	0	0	1	T	F	0	F	NULL
