START TABLE: nc_summary
START METADATA:
table_name	field_name	is_identity	user_type_id	type_name	precision
NC_SUMMARY	SETUP_ID	0	108	numeric	38
NC_SUMMARY	EQUIPMENT_ID	0	108	numeric	38
NC_SUMMARY	NC_VERSION	1	108	numeric	38
NC_SUMMARY	TVA	0	108	numeric	38
NC_SUMMARY	DOUBLE_FEEDER_FLAG	0	231	nvarchar	0
NC_SUMMARY	GLUE_TOTAL	0	108	numeric	38
NC_SUMMARY	SOLDER_TOTAL	0	108	numeric	38
END METADATA:
START DATA:
SETUP_ID	EQUIPMENT_ID	NC_VERSION	TVA	DOUBLE_FEEDER_FLAG	GLUE_TOTAL	SOLDER_TOTAL
16319	1011	83080	99	T	0	0
16319	1012	83081	72	T	0	0
16319	1013	83082	46	T	0	0
16319	1014	83083	11	T	0	0
16317	1010	84964	234	T	0	0
16317	1011	84965	213	T	0	0
16317	1012	84966	87	T	0	0
16317	1013	84967	46	T	0	0
16317	1014	84968	7	T	0	0
16319	1010	84969	90	T	0	0
16319	1011	84970	99	T	0	0
16319	1012	84971	72	T	0	0
16319	1013	84972	46	T	0	0
16319	1014	84973	11	T	0	0
5363	1010	87384	282	T	0	0
5363	1011	87385	269	T	0	0
5363	1012	87386	162	T	0	0
5363	1013	87387	70	T	0	0
5363	1014	87388	4	T	0	0
5365	1010	87389	161	T	0	0
5365	1011	87390	164	T	0	0
5365	1012	87391	76	T	0	0
5365	1013	87392	26	T	0	0
5365	1014	87393	9	T	0	0
14189	1010	87494	113	T	0	0
14189	1011	87495	83	T	0	0
14189	1012	87496	75	T	0	0
14189	1013	87497	59	T	0	0
14189	1014	87498	2	T	0	0
14191	1010	87499	143	T	0	0
14191	1011	87500	110	T	0	0
14191	1012	87501	74	T	0	0
14191	1013	87502	66	T	0	0
14191	1014	87503	2	T	0	0
14193	1010	87504	142	T	0	0
14193	1011	87505	132	T	0	0
14193	1012	87506	75	T	0	0
14193	1013	87507	38	T	0	0
14193	1014	87508	6	T	0	0
14195	1010	87509	160	T	0	0
14195	1011	87510	156	T	0	0
14195	1012	87511	85	T	0	0
14195	1013	87512	58	T	0	0
14195	1014	87513	8	T	0	0
14557	1010	87714	234	T	0	0
14557	1011	87715	213	T	0	0
14557	1012	87716	87	T	0	0
14557	1013	87717	46	T	0	0
14557	1014	87718	7	T	0	0
14559	1010	87719	90	T	0	0
14559	1011	87720	99	T	0	0
14559	1012	87721	72	T	0	0
14559	1013	87722	46	T	0	0
14559	1014	87723	11	T	0	0
14557	1010	87724	234	T	0	0
14557	1011	87725	213	T	0	0
14557	1012	87726	87	T	0	0
14557	1013	87727	46	T	0	0
14557	1014	87728	7	T	0	0
14559	1010	87729	90	T	0	0
14559	1011	87730	99	T	0	0
14559	1012	87731	72	T	0	0
14559	1013	87732	46	T	0	0
14559	1014	87733	11	T	0	0
14023	1010	89364	208	T	0	0
14023	1011	89365	240	T	0	0
14023	1012	89366	129	T	0	0
14023	1013	89367	73	T	0	0
14023	1014	89368	3	T	0	0
14025	1010	89369	95	T	0	0
14025	1011	89370	92	T	0	0
14025	1012	89371	70	T	0	0
14025	1013	89372	41	T	0	0
14025	1014	89373	9	T	0	0
14027	1010	89374	198	T	0	0
14027	1011	89375	232	T	0	0
14027	1012	89376	121	T	0	0
14027	1013	89377	73	T	0	0
14027	1014	89378	3	T	0	0
14029	1010	89379	74	T	0	0
14029	1011	89380	75	T	0	0
14029	1012	89381	52	T	0	0
14029	1013	89382	36	T	0	0
14029	1014	89383	8	T	0	0
14189	1010	89494	113	T	0	0
14189	1011	89495	83	T	0	0
14189	1012	89496	75	T	0	0
14189	1013	89497	59	T	0	0
14189	1014	89498	2	T	0	0
14191	1010	89499	143	T	0	0
14191	1011	89500	110	T	0	0
14191	1012	89501	74	T	0	0
14191	1013	89502	66	T	0	0
14191	1014	89503	2	T	0	0
14193	1010	89504	142	T	0	0
14193	1011	89505	132	T	0	0
14193	1012	89506	75	T	0	0
14193	1013	89507	38	T	0	0
14193	1014	89508	6	T	0	0
14195	1010	89509	160	T	0	0
14195	1011	89510	156	T	0	0
14195	1012	89511	85	T	0	0
14195	1013	89512	58	T	0	0
14195	1014	89513	8	T	0	0
14023	1010	89534	208	T	0	0
14023	1011	89535	240	T	0	0
14023	1012	89536	129	T	0	0
14023	1013	89537	73	T	0	0
14023	1014	89538	3	T	0	0
14025	1010	89539	95	T	0	0
14025	1011	89540	92	T	0	0
14025	1012	89541	70	T	0	0
14025	1013	89542	41	T	0	0
14025	1014	89543	9	T	0	0
14027	1010	89544	198	T	0	0
14027	1011	89545	232	T	0	0
14027	1012	89546	121	T	0	0
14027	1013	89547	73	T	0	0
14027	1014	89548	3	T	0	0
14029	1010	89549	74	T	0	0
14029	1011	89550	75	T	0	0
14029	1012	89551	52	T	0	0
14029	1013	89552	36	T	0	0
14029	1014	89553	8	T	0	0
16433	1010	91344	154	T	0	0
16433	1011	91345	202	T	0	0
16433	1012	91346	122	T	0	0
16433	1013	91347	78	T	0	0
16433	1014	91348	22	T	0	0
16434	1026	91429	154	T	0	0
16434	1027	91430	202	T	0	0
16434	1028	91431	122	T	0	0
16434	1029	91432	78	T	0	0
16434	1030	91433	22	T	0	0
16434	1026	92514	154	T	0	0
16434	1027	92515	202	T	0	0
16434	1028	92516	122	T	0	0
16434	1029	92517	78	T	0	0
16434	1030	92518	22	T	0	0
16439	1024	92589	0	T	0	0
16440	1024	92590	0	T	0	0
16441	1024	92591	0	T	0	0
16442	1024	92592	0	T	0	0
16443	1024	92593	0	T	0	0
16444	1024	92594	0	T	0	0
16445	1024	92595	0	T	0	0
16446	1024	92596	0	T	0	0
16447	1024	92597	0	T	0	0
16448	1024	92598	0	T	0	0
16449	1024	92599	0	T	0	0
16450	1024	92600	0	T	0	0
16451	1024	92601	0	T	0	0
16452	1024	92602	0	T	0	0
16453	1024	92603	0	T	0	0
16454	1024	92604	0	T	0	0
16455	1024	92605	0	T	0	0
16456	1024	92606	0	T	0	0
16457	1024	92607	0	T	0	0
16458	1024	92608	0	T	0	0
16459	1024	92609	0	T	0	0
16460	1024	92610	0	T	0	0
16461	1024	92611	0	T	0	0
16462	1024	92612	0	T	0	0
16463	1024	92613	0	T	0	0
16464	1024	92614	0	T	0	0
16465	1024	92615	0	T	0	0
16466	1024	92616	0	T	0	0
16467	1024	92617	0	T	0	0
16468	1024	92618	0	T	0	0
16469	1024	92619	0	T	0	0
16470	1024	92620	0	T	0	0
16471	1024	92621	0	T	0	0
16472	1024	92622	0	T	0	0
16473	1024	92623	0	T	0	0
16474	1024	92624	0	T	0	0
16475	1024	92625	0	T	0	0
16476	1024	92626	0	T	0	0
16477	1024	92627	0	T	0	0
16478	1024	92628	0	T	0	0
16479	1024	92629	0	T	0	0
16480	1024	92630	0	T	0	0
16481	1024	92631	0	T	0	0
16482	1024	92632	0	T	0	0
16483	1024	92633	0	T	0	0
16484	1024	92634	0	T	0	0
16485	1024	92635	0	T	0	0
16486	1024	92636	0	T	0	0
16487	1024	92637	0	T	0	0
16488	1024	92638	0	T	0	0
16489	1024	92639	0	T	0	0
16490	1024	92640	0	T	0	0
16491	1024	92641	0	T	0	0
16492	1024	92642	0	T	0	0
16493	1024	92643	0	T	0	0
16494	1024	92644	0	T	0	0
16495	1024	92645	0	T	0	0
16496	1024	92646	0	T	0	0
16497	1024	92647	0	T	0	0
16498	1024	92648	0	T	0	0
16499	1024	92649	0	T	0	0
16500	1024	92650	0	T	0	0
16501	1024	92651	0	T	0	0
16502	1024	92652	0	T	0	0
16503	1024	92653	0	T	0	0
16504	1024	92654	0	T	0	0
16505	1024	92655	0	T	0	0
16506	1024	92656	0	T	0	0
16507	1024	92657	0	T	0	0
16508	1024	92658	0	T	0	0
16509	1024	92659	0	T	0	0
16510	1024	92660	0	T	0	0
16511	1024	92661	0	T	0	0
16512	1024	92662	0	T	0	0
16513	1024	92663	0	T	0	0
16514	1024	92664	0	T	0	0
16515	1024	92665	0	T	0	0
16516	1024	92666	0	T	0	0
16517	1024	92667	0	T	0	0
16518	1024	92668	0	T	0	0
16519	1024	92669	0	T	0	0
16520	1024	92670	0	T	0	0
16521	1024	92671	0	T	0	0
16522	1024	92672	0	T	0	0
16523	1024	92673	0	T	0	0
16524	1024	92674	0	T	0	0
16525	1024	92675	0	T	0	0
16526	1024	92676	0	T	0	0
16527	1024	92677	0	T	0	0
16528	1024	92678	0	T	0	0
16529	1024	92679	0	T	0	0
16530	1024	92680	0	T	0	0
16531	1024	92681	0	T	0	0
16532	1024	92682	0	T	0	0
16533	1024	92683	0	T	0	0
16534	1024	92684	0	T	0	0
16535	1024	92685	0	T	0	0
16536	1024	92686	0	T	0	0
16537	1024	92687	0	T	0	0
16538	1024	92688	0	T	0	0
16539	1024	92689	0	T	0	0
16540	1024	92690	0	T	0	0
16541	1024	92691	0	T	0	0
16542	1024	92692	0	T	0	0
16543	1024	92693	0	T	0	0
16544	1024	92694	0	T	0	0
16545	1024	92695	0	T	0	0
16546	1024	92696	0	T	0	0
16547	1024	92697	0	T	0	0
16548	1024	92698	0	T	0	0
16549	1024	92699	0	T	0	0
16550	1024	92700	0	T	0	0
16551	1024	92701	0	T	0	0
16552	1024	92702	0	T	0	0
16553	1024	92703	0	T	0	0
16554	1024	92704	0	T	0	0
16555	1024	92705	0	T	0	0
16556	1024	92706	0	T	0	0
16557	1024	92707	0	T	0	0
16558	1024	92708	0	T	0	0
16559	1024	92709	0	T	0	0
16560	1024	92710	0	T	0	0
16561	1024	92711	0	T	0	0
16562	1024	92712	0	T	0	0
16563	1024	92713	0	T	0	0
16564	1024	92714	0	T	0	0
16565	1024	92715	0	T	0	0
16566	1024	92716	0	T	0	0
16567	1024	92717	0	T	0	0
16568	1024	92718	0	T	0	0
16569	1024	92719	0	T	0	0
16570	1024	92720	0	T	0	0
16571	1024	92721	0	T	0	0
16572	1024	92722	0	T	0	0
16573	1024	92723	0	T	0	0
16574	1024	92724	0	T	0	0
16575	1024	92725	0	T	0	0
16576	1024	92726	0	T	0	0
16577	1024	92727	0	T	0	0
16578	1024	92728	0	T	0	0
16579	1024	92729	0	T	0	0
16580	1024	92730	0	T	0	0
16581	1024	92731	0	T	0	0
16582	1024	92732	0	T	0	0
16583	1024	92733	0	T	0	0
16584	1024	92734	0	T	0	0
16585	1024	92735	0	T	0	0
16586	1024	92736	0	T	0	0
16587	1024	92737	0	T	0	0
16588	1024	92738	0	T	0	0
16589	1024	92739	0	T	0	0
16590	1024	92740	0	T	0	0
16591	1024	92741	0	T	0	0
16592	1024	92742	0	T	0	0
16593	1024	92743	0	T	0	0
16594	1024	92744	0	T	0	0
16595	1024	92745	0	T	0	0
16596	1024	92746	0	T	0	0
16597	1024	92747	0	T	0	0
16598	1024	92748	0	T	0	0
16599	1024	92749	0	T	0	0
16600	1024	92750	0	T	0	0
16601	1024	92751	0	T	0	0
16602	1024	92752	0	T	0	0
16603	1024	92753	0	T	0	0
16604	1024	92754	0	T	0	0
16605	1024	92755	0	T	0	0
16606	1024	92756	0	T	0	0
16607	1024	92757	0	T	0	0
16608	1024	92758	0	T	0	0
16609	1024	92759	0	T	0	0
16610	1024	92760	0	T	0	0
16611	1024	92761	0	T	0	0
16612	1024	92762	0	T	0	0
16613	1024	92763	0	T	0	0
16614	1024	92764	0	T	0	0
16615	1024	92765	0	T	0	0
16616	1024	92766	0	T	0	0
16617	1024	92767	0	T	0	0
16618	1024	92768	0	T	0	0
16619	1024	92769	0	T	0	0
16620	1024	92770	0	T	0	0
16621	1024	92771	0	T	0	0
16622	1024	92772	0	T	0	0
16623	1024	92773	0	T	0	0
16624	1024	92774	0	T	0	0
16625	1024	92775	0	T	0	0
16626	1024	92776	0	T	0	0
16627	1024	92777	0	T	0	0
16628	1024	92778	0	T	0	0
16629	1024	92779	0	T	0	0
16630	1024	92780	0	T	0	0
16631	1024	92781	0	T	0	0
16632	1024	92782	0	T	0	0
16633	1024	92783	0	T	0	0
16634	1024	92784	0	T	0	0
16635	1024	92785	0	T	0	0
16636	1024	92786	0	T	0	0
16637	1024	92787	0	T	0	0
16638	1024	92788	0	T	0	0
16639	1024	92789	0	T	0	0
16640	1024	92790	0	T	0	0
16641	1024	92791	0	T	0	0
16642	1024	92792	0	T	0	0
16643	1024	92793	0	T	0	0
16644	1024	92794	0	T	0	0
16645	1024	92795	0	T	0	0
16646	1024	92796	0	T	0	0
16647	1024	92797	0	T	0	0
16648	1024	92798	0	T	0	0
16649	1024	92799	0	T	0	0
16650	1024	92800	0	T	0	0
16651	1024	92801	0	T	0	0
16652	1024	92802	0	T	0	0
16653	1024	92803	0	T	0	0
16439	1024	92804	0	T	0	0
16654	1024	92805	0	T	0	0
16655	1024	92806	0	T	0	0
16656	1024	92807	0	T	0	0
16657	1024	92808	0	T	0	0
16658	1024	92809	0	T	0	0
16659	1024	92810	0	T	0	0
16660	1024	92811	0	T	0	0
16661	1024	92812	0	T	0	0
16662	1024	92813	0	T	0	0
16663	1024	92814	0	T	0	0
16664	1024	92815	0	T	0	0
16665	1024	92816	0	T	0	0
16666	1024	92817	0	T	0	0
16667	1024	92818	0	T	0	0
16668	1024	92819	0	T	0	0
16669	1024	92820	0	T	0	0
16670	1024	92821	0	T	0	0
16671	1024	92822	0	T	0	0
16672	1024	92823	0	T	0	0
16673	1024	92824	0	T	0	0
16674	1025	92825	0	T	0	0
16675	1025	92826	0	T	0	0
16676	1025	92827	0	T	0	0
16677	1025	92828	0	T	0	0
16678	1025	92829	0	T	0	0
16679	1025	92830	0	T	0	0
16680	1025	92831	0	T	0	0
16681	1025	92832	0	T	0	0
16682	1025	92833	0	T	0	0
16683	1025	92834	0	T	0	0
16684	1025	92835	0	T	0	0
16685	1025	92836	0	T	0	0
16686	1025	92837	0	T	0	0
16687	1025	92838	0	T	0	0
16688	1025	92839	0	T	0	0
16689	1025	92840	0	T	0	0
16690	1025	92841	0	T	0	0
16691	1025	92842	0	T	0	0
16692	1025	92843	0	T	0	0
16693	1025	92844	0	T	0	0
16694	1025	92845	0	T	0	0
16695	1025	92846	0	T	0	0
16696	1025	92847	0	T	0	0
16697	1025	92848	0	T	0	0
16698	1025	92849	0	T	0	0
16699	1025	92850	0	T	0	0
16700	1025	92851	0	T	0	0
16701	1025	92852	0	T	0	0
16702	1025	92853	0	T	0	0
16703	1025	92854	0	T	0	0
16704	1025	92855	0	T	0	0
16705	1025	92856	0	T	0	0
16706	1025	92857	0	T	0	0
16707	1025	92858	0	T	0	0
16708	1025	92859	0	T	0	0
16709	1025	92860	0	T	0	0
16710	1025	92861	0	T	0	0
16711	1025	92862	0	T	0	0
16712	1025	92863	0	T	0	0
16713	1025	92864	0	T	0	0
16714	1025	92865	0	T	0	0
16715	1025	92866	0	T	0	0
16716	1025	92867	0	T	0	0
16717	1025	92868	0	T	0	0
16718	1025	92869	0	T	0	0
16719	1025	92870	0	T	0	0
16720	1025	92871	0	T	0	0
16721	1025	92872	0	T	0	0
16722	1025	92873	0	T	0	0
16723	1025	92874	0	T	0	0
16724	1025	92875	0	T	0	0
16725	1025	92876	0	T	0	0
16726	1025	92877	0	T	0	0
16727	1025	92878	0	T	0	0
16728	1025	92879	0	T	0	0
16729	1025	92880	0	T	0	0
16730	1025	92881	0	T	0	0
16731	1025	92882	0	T	0	0
16732	1025	92883	0	T	0	0
16733	1025	92884	0	T	0	0
16734	1025	92885	0	T	0	0
16735	1025	92886	0	T	0	0
16736	1025	92887	0	T	0	0
16737	1025	92888	0	T	0	0
16738	1025	92889	0	T	0	0
16739	1025	92890	0	T	0	0
16740	1025	92891	0	T	0	0
16741	1025	92892	0	T	0	0
16742	1025	92893	0	T	0	0
16743	1025	92894	0	T	0	0
16744	1025	92895	0	T	0	0
16745	1025	92896	0	T	0	0
