START TABLE: nc_placement_detail
START METADATA:
table_name	field_name	is_identity	user_type_id	type_name	precision
NC_PLACEMENT_DETAIL	NC_PLACEMENT_ID	1	108	numeric	38
NC_PLACEMENT_DETAIL	IDNUM	0	108	numeric	38
NC_PLACEMENT_DETAIL	REF_DESIGNATOR	0	231	nvarchar	0
NC_PLACEMENT_DETAIL	PART_NAME	0	262	udt_part_no	0
NC_PLACEMENT_DETAIL	PATTERN_NUMBER	0	108	numeric	38
NC_PLACEMENT_DETAIL	NC_VERSION	0	108	numeric	38
NC_PLACEMENT_DETAIL	PATTERN_IDNUM	0	108	numeric	38
END METADATA:
START DATA:
NC_PLACEMENT_ID	IDNUM	REF_DESIGNATOR	PART_NAME	PATTERN_NUMBER	NC_VERSION	PATTERN_IDNUM
1000165	735	U1165	13E5-1165	1	148304	NULL
1000166	744	U1166	13E5-1166	1	148304	NULL
1000167	745	U1167	13E5-1167	1	148304	NULL
1000168	746	U1168	13E5-1168	1	148304	NULL
1000169	747	U1169	13E5-1169	1	148304	NULL
1000170	749	U1170	13E5-1170	1	148304	NULL
1000171	750	U1171	13E5-1171	1	148304	NULL
1000172	752	U1172	13E5-1172	1	148304	NULL
1000173	753	U1173	13E5-1173	1	148304	NULL
1000174	754	U1174	13E5-1174	1	148304	NULL
1000175	755	U1175	13E5-1175	1	148304	NULL
1000176	756	U1176	13E5-1176	1	148304	NULL
1000177	757	U1177	13E5-1177	1	148304	NULL
1000178	758	U1178	13E5-1178	1	148304	NULL
1000179	760	U1179	13E5-1179	1	148304	NULL
1000180	762	U1180	13E5-1180	1	148304	NULL
1000181	764	U1181	13E5-1181	1	148304	NULL
1000182	765	U1182	13E5-1182	1	148304	NULL
1000183	766	U1183	13E5-1183	1	148304	NULL
1000184	775	U1184	13E5-1184	1	148304	NULL
1000185	781	U1185	13E5-1185	1	148304	NULL
1000186	783	U1186	13E5-1186	1	148304	NULL
1000187	784	U1187	13E5-1187	1	148304	NULL
1000188	787	U1188	13E5-1188	1	148304	NULL
1000189	789	U1189	13E5-1189	1	148304	NULL
1000190	792	U1190	13E5-1190	1	148304	NULL
1000191	795	U1191	13E5-1191	1	148304	NULL
1000192	796	U1192	13E5-1192	1	148304	NULL
1000193	799	U1193	13E5-1193	1	148304	NULL
1000194	8	U1194	13E5-1194	1	148304	NULL
1000195	802	U1195	13E5-1195	1	148304	NULL
1000196	804	U1196	13E5-1196	1	148304	NULL
1000197	806	U1197	13E5-1197	1	148304	NULL
1000198	807	U1198	13E5-1198	1	148304	NULL
1000199	810	U1199	13E5-1199	1	148304	NULL
1000200	813	U1200	13E5-1200	1	148304	NULL
1000201	814	U1201	13E5-1201	1	148304	NULL
1000202	815	U1202	13E5-1202	1	148304	NULL
1000203	816	U1203	13E5-1203	1	148304	NULL
1000204	817	U1204	13E5-1204	1	148304	NULL
1000205	818	U1205	13E5-1205	1	148304	NULL
1000206	820	U1206	13E5-1206	1	148304	NULL
1000207	821	U1207	13E5-1207	1	148304	NULL
1000208	823	U1208	13E5-1208	1	148304	NULL
1000209	824	U1209	13E5-1209	1	148304	NULL
1000210	825	U1210	13E5-1210	1	148304	NULL
1000211	826	U1211	13E5-1211	1	148304	NULL
