START TABLE: tracking_data
START METADATA:
table_name	field_name	is_identity	user_type_id	type_name	precision
TRACKING_DATA	SERIAL_NO	0	231	nvarchar	0
TRACKING_DATA	PROD_MODEL_NO	0	231	nvarchar	0
TRACKING_DATA	PANEL_ID	0	108	numeric	38
TRACKING_DATA	PATTERN_ID	0	108	numeric	38
TRACKING_DATA	BARCODE	0	231	nvarchar	0
TRACKING_DATA	SETUP_ID	0	108	numeric	38
TRACKING_DATA	TOP_BOTTOM	0	231	nvarchar	0
TRACKING_DATA	TIMESTAMP	0	56	int	10
TRACKING_DATA	IMPORT_FLAG	0	56	int	10
END METADATA:
START DATA:
SERIAL_NO	PROD_MODEL_NO	PANEL_ID	PATTERN_ID	BARCODE	SETUP_ID	TOP_BOTTOM	TIMESTAMP	IMPORT_FLAG
059440FZ38	A635BA	1191105	1191101	A635BA      059440FZ38	17256	T	1452272817	0
525676	 	1191106	1191102	 	17254	T	1452272817	0
059450FZ38	A635BA	1191107	1191103	A635BA      059450FZ38	17256	T	1452272817	0
525677	 	1191108	1191104	 	17254	T	1452272817	0
059460FZ38	A635BA	1191109	1191105	A635BA      059460FZ38	17256	T	1452272818	0
525678	 	1191110	1191106	 	17254	T	1452272818	0
059470FZ38	A635BA	1191111	1191107	A635BA      059470FZ38	17256	T	1452272863	0
525679	 	1191112	1191108	 	17254	T	1452272863	0
059480FZ38	A635BA	1191113	1191109	A635BA      059480FZ38	17256	T	1452272864	0
525680	 	1191114	1191110	 	17254	T	1452272864	0
059290FZ38	A635BA	1191115	1191111	A635BA      059290FZ38	17256	T	1452272864	0
525681	 	1191116	1191112	 	17254	T	1452272864	0
059310FZ38	A635BA	1191117	1191113	A635BA      059310FZ38	17256	T	1452272864	0
525682	 	1191118	1191114	 	17254	T	1452272865	0
059330FZ38	A635BA	1191119	1191115	A635BA      059330FZ38	17256	T	1452272865	0
525683	 	1191120	1191116	 	17254	T	1452272865	0
059340FZ38	A635BA	1191121	1191117	A635BA      059340FZ38	17256	T	1452272865	0
525684	 	1191122	1191118	 	17254	T	1452272866	0
059350FZ38	A635BA	1191123	1191119	A635BA      059350FZ38	17256	T	1452272866	0
525685	 	1191124	1191120	 	17254	T	1452272866	0
059360FZ38	A635BA	1191125	1191121	A635BA      059360FZ38	17256	T	1452272866	0
525686	 	1191126	1191122	 	17254	T	1452272867	0
059370FZ38	A635BA	1191127	1191123	A635BA      059370FZ38	17256	T	1452272867	0
525687	 	1191128	1191124	 	17254	T	1452272867	0
059380FZ38	A635BA	1191129	1191125	A635BA      059380FZ38	17256	T	1452272867	0
525688	 	1191130	1191126	 	17254	T	1452272868	0
059200FZ38	A635BA	1191131	1191127	A635BA      059200FZ38	17256	T	1452272868	0
525689	 	1191132	1191128	 	17254	T	1452272868	0
059210FZ38	A635BA	1191133	1191129	A635BA      059210FZ38	17256	T	1452272868	0
525690	 	1191134	1191130	 	17254	T	1452272868	0
059220FZ38	A635BA	1191135	1191131	A635BA      059220FZ38	17256	T	1452272869	0
525691	 	1191136	1191132	 	17254	T	1452272869	0
059240FZ38	A635BA	1191137	1191133	A635BA      059240FZ38	17256	T	1452272869	0
525692	 	1191138	1191134	 	17254	T	1452272869	0
059250FZ38	A635BA	1191139	1191135	A635BA      059250FZ38	17256	T	1452272870	0
525693	 	1191140	1191136	 	17254	T	1452272870	0
059260FZ38	A635BA	1191141	1191137	A635BA      059260FZ38	17256	T	1452272914	0
525694	 	1191142	1191138	 	17254	T	1452272914	0
059270FZ38	A635BA	1191143	1191139	A635BA      059270FZ38	17256	T	1452272914	0
525695	 	1191144	1191140	 	17254	T	1452272915	0
059280FZ38	A635BA	1191145	1191141	A635BA      059280FZ38	17256	T	1452272915	0
525696	 	1191146	1191142	 	17254	T	1452272915	0
059090FZ38	A635BA	1191147	1191143	A635BA      059090FZ38	17256	T	1452272915	0
525697	 	1191148	1191144	 	17254	T	1452272915	0
060060FZ38	A635BA	1191149	1191145	A635BA      060060FZ38	17256	T	1452272916	0
525698	 	1191150	1191146	 	17254	T	1452272916	0
060070FZ38	A635BA	1191151	1191147	A635BA      060070FZ38	17256	T	1452272916	0
