START TABLE: panels
START METADATA:
table_name	field_name	is_identity	user_type_id	type_name	precision
PANELS	PANEL_ID	0	108	numeric	38
PANELS	EQUIPMENT_ID	0	108	numeric	38
PANELS	NC_VERSION	0	108	numeric	38
PANELS	START_TIME	0	108	numeric	38
PANELS	END_TIME	0	108	numeric	38
PANELS	PANEL_EQUIPMENT_ID	1	108	numeric	38
PANELS	PANEL_SOURCE	0	108	numeric	38
PANELS	PANEL_TRACE	0	108	numeric	38
PANELS	STAGE_NO	0	108	numeric	38
PANELS	LANE_NO	0	108	numeric	38
PANELS	JOB_ID	0	108	numeric	38
PANELS	SETUP_ID	0	56	int	10
PANELS	TRX_PRODUCT_ID	0	231	nvarchar	0
PANELS	HUMIDITY	0	108	numeric	38
PANELS	TEMPERATURE	0	108	numeric	38
END METADATA:
START DATA:
PANEL_ID	EQUIPMENT_ID	NC_VERSION	START_TIME	END_TIME	PANEL_EQUIPMENT_ID	PANEL_SOURCE	PANEL_TRACE	STAGE_NO	LANE_NO	JOB_ID	SETUP_ID	TRX_PRODUCT_ID	HUMIDITY	TEMPERATURE
1191484	1013	148297	1377851246	1377851246	3554	2	2	1	2	NULL	17254	20130830032726397-04-1-2-525865--4--525865.u03	0	0
1191485	1013	148302	1377851266	1377851266	3555	2	2	1	1	NULL	17256	20130830032746130-04-1-1-525726-A635BA      061560FZ38-4-A635BA-061560FZ38.u03	0	0
1191486	1013	148297	1377851292	1377851292	3556	2	2	1	2	NULL	17254	20130830032812626-04-1-2-525866--4--525866.u03	0	0
1191487	1013	148302	1377851312	1377851312	3557	2	2	1	1	NULL	17256	20130830032832320-04-1-1-525727-A635BA      061570FZ38-4-A635BA-061570FZ38.u03	0	0
1191488	1013	148297	1377851338	1377851338	3558	2	2	1	2	NULL	17254	20130830032858874-04-1-2-525867--4--525867.u03	0	0
1191489	1013	148302	1377851358	1377851358	3559	2	2	1	1	NULL	17256	20130830032918550-04-1-1-525728-A635BA      061580FZ38-4-A635BA-061580FZ38.u03	0	0
1191490	1013	148297	1377851385	1377851385	3560	2	2	1	2	NULL	17254	20130830032945055-04-1-2-525868--4--525868.u03	0	0
1191491	1013	148302	1377851404	1377851404	3561	2	2	1	1	NULL	17256	20130830033004597-04-1-1-525729-A635BA      061390FZ38-4-A635BA-061390FZ38.u03	0	0
1191492	1013	148297	1377851431	1377851431	3562	2	2	1	2	NULL	17254	20130830033031141-04-1-2-525869--4--525869.u03	0	0
1191493	1013	148302	1377851450	1377851450	3563	2	2	1	1	NULL	17256	20130830033050480-04-1-1-525730-A635BA      061400FZ38-4-A635BA-061400FZ38.u03	0	0
1191494	1013	148297	1377851476	1377851476	3564	2	2	1	2	NULL	17254	20130830033116534-04-1-2-525870--4--525870.u03	0	0
1191495	1013	148302	1377851495	1377851495	3565	2	2	1	1	NULL	17256	20130830033135895-04-1-1-525731-A635BA      061410FZ38-4-A635BA-061410FZ38.u03	0	0
1191496	1013	148297	1377851521	1377851521	3566	2	2	1	2	NULL	17254	20130830033201586-04-1-2-525871--4--525871.u03	0	0
1191497	1013	148302	1377851542	1377851542	3567	2	2	1	1	NULL	17256	20130830033222510-04-1-1-525732-A635BA      061420FZ38-4-A635BA-061420FZ38.u03	0	0
1191498	1013	148297	1377851568	1377851568	3568	2	2	1	2	NULL	17254	20130830033248604-04-1-2-525872--4--525872.u03	0	0
1191499	1013	148302	1377851587	1377851587	3569	2	2	1	1	NULL	17256	20130830033307942-04-1-1-525733-A635BA      061430FZ38-4-A635BA-061430FZ38.u03	0	0
1191500	1013	148297	1377851613	1377851613	3570	2	2	1	2	NULL	17254	20130830033333384-04-1-2-525873--4--525873.u03	0	0
1191501	1013	148302	1377851632	1377851632	3571	2	2	1	1	NULL	17256	20130830033352722-04-1-1-525734-A635BA      061450FZ38-4-A635BA-061450FZ38.u03	0	0
1191502	1013	148297	1377851658	1377851658	3572	2	2	1	2	NULL	17254	20130830033418211-04-1-2-525874--4--525874.u03	0	0
