MACHINE;LANE;STAGE;PRODUCT;TIMESTAMP;FID;FNAME;OUTPUT;SERIAL;PRODUCTID;TPickup;TPMiss;TRMiss;TDMiss;THMiss;TRSMiss;TMMiss
01;1;1;PTA635AA001_BA001_CA001_RSA635BA001_4;1377843898;248;20130830012458297-01-1-1-525587-A635BA      060220FZ38-3-A635BA-060220FZ38.U01;3;525587;233;102545;15;1;0;0;0;0
01;1;1;PTA635AA001_BA001_CA001_RSA635BA001_4;1377843943;566;20130830012543259-01-1-1-525588-A635BA      060230FZ38-3-A635BA-060230FZ38.U01;3;525588;233;102696;15;1;0;0;0;0
01;1;1;PTA635AA001_BA001_CA001_RSA635BA001_4;1377843988;487;20130830012628676-01-1-1-525589-A635BA      060240FZ38-3-A635BA-060240FZ38.U01;3;525589;233;102847;15;1;0;0;0;0
01;1;1;PTA635AA001_BA001_CA001_RSA635BA001_4;1377844033;91;20130830012713725-01-1-1-525590-A635BA      060260FZ38-3-A635BA-060260FZ38.U01;3;525590;233;102998;15;1;0;0;0;0
01;1;1;PTA635AA001_BA001_CA001_RSA635BA001_4;1377844088;955;20130830012808728-01-1-1-525591-A635BA      060270FZ38-3-A635BA-060270FZ38.U01;3;525591;233;103149;15;1;0;0;0;0
01;1;1;PTA635AA001_BA001_CA001_RSA635BA001_4;1377844135;811;20130830012855885-01-1-1-525592-A635BA      060280FZ38-3-A635BA-060280FZ38.U01;3;525592;233;103300;15;1;0;0;0;0
01;1;1;PTA635AA001_BA001_CA001_RSA635BA001_4;1377844181;572;20130830012941536-01-1-1-525593-A635BA      060090FZ38-3-A635BA-060090FZ38.U01;3;525593;233;103451;15;1;0;0;0;0
01;1;1;PTA635AA001_BA001_CA001_RSA635BA001_4;1377844227;494;20130830013027084-01-1-1-525594-A635BA      060100FZ38-3-A635BA-060100FZ38.U01;3;525594;233;103602;15;1;0;0;0;0
01;1;1;PTA635AA001_BA001_CA001_RSA635BA001_4;1377844374;17;20130830013254364-01-1-1-525595-A635BA      060110FZ38-3-A635BA-060110FZ38.U01;3;525595;233;103753;15;1;0;0;0;0
01;1;1;PTA635AA001_BA001_CA001_RSA635BA001_4;1377844413;870;20130830013333145-01-1-1-525596-A635BA      060120FZ38-3-A635BA-060120FZ38.U01;3;525596;233;103904;15;1;0;0;0;0
