machno lane filetype label seconds
5 2 u01 process_u01_file-1719-1740 2.99432803921569e-05
1 1 u01 process_u01_file-1741-1743 7.21044686868687e-05
2 1 u01 process_u01_file-1741-1743 6.4823132264529e-05
3 1 u01 process_u01_file-1741-1743 6.48624801587302e-05
4 1 u01 process_u01_file-1741-1743 6.45079033530572e-05
5 1 u01 process_u01_file-1741-1743 5.2997573964497e-05
1 2 u01 process_u01_file-1741-1743 6.536432e-05
2 2 u01 process_u01_file-1741-1743 6.92161474103586e-05
3 2 u01 process_u01_file-1741-1743 6.23043274161736e-05
4 2 u01 process_u01_file-1741-1743 5.8273737254902e-05
5 2 u01 process_u01_file-1741-1743 5.09815941176471e-05
1 1 u01 process_u01_file-1744-1800 7.83163757575758e-05
2 1 u01 process_u01_file-1744-1800 0.000326145583166333
3 1 u01 process_u01_file-1744-1800 7.84008333333333e-05
4 1 u01 process_u01_file-1744-1800 7.56550729783037e-05
5 1 u01 process_u01_file-1744-1800 5.68455897435897e-05
1 2 u01 process_u01_file-1744-1800 7.4857102e-05
2 2 u01 process_u01_file-1744-1800 0.000365124472111554
3 2 u01 process_u01_file-1744-1800 7.87544852071006e-05
4 2 u01 process_u01_file-1744-1800 7.37928549019608e-05
5 2 u01 process_u01_file-1744-1800 5.89641647058824e-05
1 1 u01 process_u01_file-1801-1809 0.00671223082828283
2 1 u01 process_u01_file-1801-1809 0.00632645033867735
3 1 u01 process_u01_file-1801-1809 0.00459792781944444
4 1 u01 process_u01_file-1801-1809 0.00449014952662722
5 1 u01 process_u01_file-1801-1809 0.00253315073767258
1 2 u01 process_u01_file-1801-1809 0.004901918382
2 2 u01 process_u01_file-1801-1809 0.00772754373705179
3 2 u01 process_u01_file-1801-1809 0.00543846967455621
4 2 u01 process_u01_file-1801-1809 0.00431558480980392
5 2 u01 process_u01_file-1801-1809 0.00222954972352941
1 1 u01 process_u01_file-1810-1848 3.24245575757576e-05
2 1 u01 process_u01_file-1810-1848 3.02970901803607e-05
3 1 u01 process_u01_file-1810-1848 2.80549404761905e-05
4 1 u01 process_u01_file-1810-1848 2.94140374753452e-05
5 1 u01 process_u01_file-1810-1848 2.46379901380671e-05
1 2 u01 process_u01_file-1810-1848 4.9875758e-05
2 2 u01 process_u01_file-1810-1848 4.56277888446215e-05
3 2 u01 process_u01_file-1810-1848 4.50621932938856e-05
4 2 u01 process_u01_file-1810-1848 4.64999843137255e-05
5 2 u01 process_u01_file-1810-1848 4.17637176470588e-05
1 1 u01 process_u01_file-1859-2161 0.0025934518
2 1 u01 process_u01_file-1859-2161 0.00272357052304609
3 1 u01 process_u01_file-1859-2161 0.00267969512698413
4 1 u01 process_u01_file-1859-2161 0.00266497171597633
5 1 u01 process_u01_file-1859-2161 0.00249443309664694
1 2 u01 process_u01_file-1859-2161 0.00212589969
2 2 u01 process_u01_file-1859-2161 0.0020790464501992
3 2 u01 process_u01_file-1859-2161 0.00208975366469428
4 2 u01 process_u01_file-1859-2161 0.0020637519372549
5 2 u01 process_u01_file-1859-2161 0.00193774974705882
1 1 u01 process_u01_file-2173-return 0.000144531206060606
2 1 u01 process_u01_file-2173-return 0.000163405362725451
3 1 u01 process_u01_file-2173-return 0.000139569662698413
4 1 u01 process_u01_file-2173-return 0.000119141812623274
5 1 u01 process_u01_file-2173-return 9.93339230769231e-05
1 2 u01 process_u01_file-2173-return 0.000116900952
2 2 u01 process_u01_file-2173-return 0.00017931421314741
